pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,pl_rade
BD+20 274,b,Radial Velocity,578.20000000,1.300000,0.210000,4.20000,,,,25.920324,21.005314,,,4296.00,0.80,17.30,,,
BD-082823,b,Radial Velocity,5.60000000,0.056000,0.150000,0.04500,,,,150.198837,-9.516680,42.09,9.880,4746.00,0.74,,,HIP 49067,
BD-082823,c,Radial Velocity,237.60000000,0.680000,0.190000,0.33000,,,,150.198837,-9.516680,42.09,9.880,4746.00,0.74,,,HIP 49067,
BD-10 3166,b,Radial Velocity,3.48777000,0.045200,0.019000,0.45800,,,,164.619936,-10.770373,,10.080,5180.00,0.81,,,,
BD-17 63,b,Radial Velocity,655.60000000,1.340000,0.540000,5.10000,,,,7.142942,-16.226345,37.54,9.566,4714.00,0.74,0.69,,HIP 2247,
BOKS-1,b,Transit,3.90512000,0.047700,0.000000,,,89.800,0,294.865505,46.285854,800.00,,5545.00,0.95,0.86,,,12.442
CT Cha,b,Imaging,,440.000000,,17.00000,,,,166.037877,-76.455383,,,,,,,,24.660
CoRoT-1,b,Transit,1.50895570,0.025400,0.000000,1.03000,0.38000,85.100,,102.079885,-3.102147,,,5950.00,0.95,1.11,,,16.701
CoRoT-10,b,Transit,13.24060000,0.105500,0.530000,2.75000,3.70000,88.550,,291.063708,0.746143,345.00,,5075.00,0.89,0.79,,,10.873
CoRoT-11,b,Transit,2.99433000,0.043600,0.000000,2.33000,0.99000,83.170,,280.687263,5.937688,560.00,,6440.00,1.27,1.37,,,16.029
CoRoT-12,b,Transit,2.82804200,0.040160,0.070000,0.91700,0.30900,85.480,,100.765677,-1.296439,1150.00,,5675.00,1.08,1.12,,,16.141
CoRoT-13,b,Transit,4.03519000,0.051000,0.000000,1.30800,2.34000,88.020,,102.721137,-5.086445,1060.00,,5945.00,1.09,1.01,,,9.920
CoRoT-14,b,Transit,1.51215000,,0.000000,7.58000,7.30000,79.600,,103.424211,-5.536037,1340.00,,6035.00,1.13,1.21,,,12.218
CoRoT-16,b,Transit,5.35227000,0.061800,0.330000,0.53500,0.44000,85.010,,278.524689,-6.002595,840.00,,5650.00,1.10,1.19,,,13.114
CoRoT-17,b,Transit,3.76810000,0.046100,0.000000,2.43000,2.82000,88.340,,278.699254,-6.612234,920.00,,5740.00,1.04,1.59,,,11.433
CoRoT-18,b,Transit,1.90006930,0.029500,0.080000,3.47000,2.20000,86.500,,98.172410,-0.031586,870.00,,5440.00,0.95,1.00,,,14.684
CoRoT-19,b,Transit,3.89713000,0.051800,0.047000,1.11000,0.71000,88.000,,97.033582,-0.170681,770.00,,6090.00,1.21,1.65,,,14.460
CoRoT-2,b,Transit,1.74299640,0.028100,0.000000,3.31000,1.31000,87.840,,291.777056,1.383714,,,5625.00,0.97,0.90,,,16.421
CoRoT-20,b,Transit,9.20000000,0.090200,0.562000,4.24000,,88.210,,97.720408,0.226919,1230.00,,5880.00,1.14,1.02,,,9.420
CoRoT-23,b,Transit,3.63130000,0.048000,0.160000,2.80000,,85.700,,279.782615,4.357806,600.00,,5900.00,1.14,1.61,,,11.770
CoRoT-3,b,Transit,4.25680000,0.057000,0.000000,21.66000,26.40000,85.900,,292.055263,0.121820,680.00,,6740.00,1.37,1.56,,,11.321
CoRoT-4,b,Transit,9.20205000,0.090000,0.000000,0.72000,0.52500,90.000,,102.194663,-0.672774,,,6190.00,1.16,1.17,,,13.339
CoRoT-5,b,Transit,4.03789620,0.049470,0.090000,0.46700,0.21700,85.830,,101.277254,0.815239,,,6100.00,1.00,1.19,,,15.500
CoRoT-6,b,Transit,8.88659300,0.085500,0.100000,2.96000,2.32000,89.070,,281.072525,6.663194,,,6090.00,1.05,1.02,,,13.068
CoRoT-7,b,Transit,0.85358500,0.017200,0.000000,0.01500,5.60000,80.100,,100.956125,-1.063033,150.00,,5275.00,0.93,0.87,,,1.680
CoRoT-7,c,Radial Velocity,3.69800000,0.046000,0.000000,0.02600,,,,100.956125,-1.063033,150.00,,5275.00,0.93,0.87,,,
CoRoT-8,b,Transit,6.21229000,0.063000,0.000000,0.22000,1.60000,88.400,,291.588518,1.426452,380.00,,5080.00,0.88,0.77,,,6.389
CoRoT-9,b,Transit,95.27380000,0.407000,0.110000,0.84000,0.90000,89.990,,280.786712,6.204172,460.00,,5625.00,0.99,0.94,,,11.769
DP Leo,b,Eclipse Timing Variations,8693.00000000,8.600000,,6.28000,,,,169.316667,17.961417,,,,,,,,
FU Tau,b,Imaging,,,,15.00000,,,,65.898911,25.049898,,,,,,,,
Fomalhaut,b,Imaging,320000.00000000,115.000000,0.130000,3.00000,,,,344.412689,-29.622236,7.69,1.160,8540.00,2.06,1.82,HD 216956,HIP 113368,
GJ 1214,b,Transit,1.58040482,,0.000000,0.02000,1.68000,90.000,,258.828857,4.963907,,14.680,2949.00,0.15,0.21,,,2.740
GJ 3021,b,Radial Velocity,133.71000000,0.495000,0.511000,3.37000,,,,4.052823,-79.851181,17.62,6.582,5540.00,0.90,0.90,HD 1237,HIP 1292,
GJ 317,b,Radial Velocity,692.00000000,1.150000,0.110000,2.50000,,45.000,,130.246704,-23.456272,,11.970,3510.00,0.42,,,,
GJ 317,c,Radial Velocity,10000.00000000,25.000000,0.810000,2.00000,,,,130.246704,-23.456272,,11.970,3510.00,0.42,,,,
GJ 3470,b,Transit,3.33714000,0.034800,0.051000,0.04410,1.07000,88.800,,119.774345,15.391492,,12.330,3520.00,0.46,,,,4.200
GJ 3634,b,Radial Velocity,2.64561000,0.028700,0.080000,0.02200,,59.000,,164.646255,-31.143988,,,,0.45,0.43,,,
GJ 433,b,Radial Velocity,7.37090000,0.058000,0.080000,0.01800,,,,173.862289,-32.539970,9.04,9.806,3600.00,0.48,,,HIP 56528,
GJ 436,b,Radial Velocity,2.64385000,0.028500,0.160000,0.07370,2.00800,86.360,,175.546219,26.706570,10.23,10.650,3350.00,0.46,0.45,,HIP 57087,4.091
GJ 649,b,Radial Velocity,598.30000000,1.135000,0.300000,0.32800,,,,254.536880,25.744160,10.32,9.690,3700.00,0.54,,,HIP 83043,
GJ 667C,b,Radial Velocity,7.20066000,0.049000,0.172000,0.01789,,,,259.745087,-34.996826,,,3600.00,0.33,,,,
GJ 667C,c,Radial Velocity,28.15500000,0.123000,0.270000,0.01430,,,,259.745087,-34.996826,,,3600.00,0.33,,,,
GJ 674,b,Radial Velocity,4.69380000,0.039000,0.200000,0.03500,,,,262.166443,-46.895191,4.54,9.370,3600.00,0.35,,,HIP 85523,
GJ 676A,b,Radial Velocity,1056.80000000,1.820000,0.326000,4.90000,,,,262.546692,-51.636978,16.13,9.580,,0.71,,,HIP 85647,
GJ 832,b,Radial Velocity,3507.00000000,3.460000,0.080000,0.62000,,,,323.391571,-49.009006,4.94,8.660,3657.00,0.45,0.48,HD 204961,HIP 106440,
GJ 849,b,Radial Velocity,1845.00000000,2.320000,0.050000,0.91000,,,,332.418121,-4.640729,8.77,10.370,,0.49,,,HIP 109388,
GQ Lup,b,Imaging,,,,21.50000,,,,237.300600,-35.651097,,12.430,3110.00,0.16,,,,20.000
GSC 06214-00210,b,Imaging,,,,14.00000,,,,245.477780,-20.719202,145.00,,,0.60,,,,
Gl 179,b,Radial Velocity,2288.00000000,2.410000,0.210000,0.82000,,,,73.023865,6.476539,12.12,12.000,3370.00,0.36,0.38,,HIP 22627,
Gl 581,b,Radial Velocity,5.36865000,0.041000,0.031000,0.05000,,,,229.861771,-7.722280,6.27,10.560,,0.31,0.29,,HIP 74995,
Gl 581,c,Radial Velocity,12.91820000,0.073000,0.070000,0.01700,,,,229.861771,-7.722280,6.27,10.560,,0.31,0.29,,HIP 74995,
Gl 581,d,Radial Velocity,66.64000000,0.220000,0.250000,0.01900,,,,229.861771,-7.722280,6.27,10.560,,0.31,0.29,,HIP 74995,
Gl 581,e,Radial Velocity,3.14945000,0.028000,0.320000,0.00600,,,,229.861771,-7.722280,6.27,10.560,,0.31,0.29,,HIP 74995,
Gl 86,b,Radial Velocity,15.76491000,0.113000,0.041600,3.91000,,,,32.608059,-50.823723,10.91,6.120,5151.00,0.77,,HD 13445,HIP 10138,
Gliese 876,b,Radial Velocity,61.11660000,0.208317,0.032400,2.27560,,59.000,,343.319733,-14.263700,4.70,10.191,,0.33,,,HIP 113020,
Gliese 876,c,Radial Velocity,30.08810000,0.129590,0.255910,0.71420,,59.000,,343.319733,-14.263700,4.70,10.191,,0.33,,,HIP 113020,
Gliese 876,d,Radial Velocity,1.93778000,0.020807,0.207000,0.02100,,59.000,,343.319733,-14.263700,4.70,10.191,,0.33,,,HIP 113020,
Gliese 876,e,Radial Velocity,124.26000000,0.334300,0.055000,0.04600,,59.000,,343.319733,-14.263700,4.70,10.191,,0.33,,,HIP 113020,
HAT-P-1,b,Transit,4.46529340,0.055310,0.000000,0.52400,0.34500,86.280,,344.445104,38.674953,155.00,10.340,5975.00,1.13,1.12,,,13.730
HAT-P-11,b,Transit,4.88781620,0.053000,0.198000,0.08100,1.33000,88.500,0,297.709351,48.080856,36.36,9.472,4510.00,0.66,0.88,,HIP 97657,4.730
HAT-P-12,b,Transit,3.21305980,0.038400,0.000000,0.21000,0.31920,89.000,,209.389489,43.493534,142.50,,4650.00,0.73,0.70,,,10.492
HAT-P-13,b,Transit,2.91626000,0.042700,0.021000,0.85100,0.49800,83.400,,129.882536,47.352051,214.00,,5653.00,1.22,1.56,,,14.258
HAT-P-13,c,Radial Velocity,446.27000000,,0.661600,14.28000,,,,129.882536,47.352051,214.00,,5653.00,1.22,1.56,,,
HAT-P-14,b,Transit,4.62766900,0.060600,0.107000,2.23200,1.82000,83.500,,260.116169,38.242165,205.00,,6600.00,1.39,1.47,,,12.890
HAT-P-15,b,Transit,10.86350200,0.096400,0.190000,1.94600,1.96000,89.100,,66.248026,39.460636,190.00,,5568.00,1.01,1.08,,,12.016
HAT-P-16,b,Transit,2.77596000,0.041300,0.036000,4.19300,2.42000,86.600,,9.573181,42.463078,235.00,,6158.00,1.22,1.24,,,14.448
HAT-P-17,b,Transit,10.33852300,0.088200,0.346000,0.53000,0.64000,89.200,,324.536396,30.488716,90.00,,5246.00,0.86,0.84,,,11.321
HAT-P-17,c,Radial Velocity,1610.00000000,2.555000,0.086000,1.31000,,,,324.536396,30.488716,90.00,,5246.00,0.86,0.84,,,
HAT-P-18,b,Transit,5.50802300,0.055900,0.084000,0.19700,0.25000,88.800,,256.346473,33.012512,166.00,,4803.00,0.77,0.75,,,11.153
HAT-P-19,b,Transit,4.00877800,0.046600,0.067000,0.29200,,88.200,,9.516742,34.711575,215.00,,4990.00,0.84,0.82,,,12.689
HAT-P-2,b,Transit,5.63347290,0.068780,0.517100,9.09000,7.29000,86.720,,245.151489,41.048084,135.32,8.689,6450.00,1.29,1.75,HD 147506,HIP 80076,12.970
HAT-P-20,b,Transit,2.87531700,0.036100,0.015000,7.24600,13.78000,86.800,,111.916469,24.336630,70.00,,4595.00,0.76,0.69,,,9.718
HAT-P-21,b,Transit,4.12448100,0.049400,0.228000,4.06300,4.68000,87.200,,171.274955,41.027954,254.00,,5588.00,0.95,1.11,,,11.478
HAT-P-22,b,Transit,3.21222000,0.041400,0.016000,2.14700,2.11000,86.900,,155.681719,50.128345,82.00,,5302.00,0.92,1.04,HD 233731,,12.106
HAT-P-23,b,Transit,1.21288400,0.023200,0.106000,2.09000,1.01000,85.100,,306.123854,16.762152,393.00,,5905.00,1.13,1.20,,,15.334
HAT-P-24,b,Transit,3.35524000,0.046500,0.067000,0.68500,0.44000,88.600,,108.825058,14.262599,396.00,,6373.00,1.19,1.32,,,13.922
HAT-P-25,b,Transit,3.65283600,0.046600,0.032000,0.56700,0.42000,87.600,,48.435419,25.197405,297.00,,5500.00,1.01,0.96,,,13.339
HAT-P-26,b,Transit,4.23451600,0.047900,0.124000,0.05900,0.40000,88.600,,213.156383,4.059997,134.00,,5079.00,0.82,0.79,,,6.333
HAT-P-27,b,Transit,3.03958600,0.040300,0.078000,0.66000,0.73000,84.700,,222.767436,5.947368,204.00,,5300.00,0.94,0.90,,,11.635
HAT-P-28,b,Transit,3.25721500,0.043400,0.051000,0.62600,0.44000,88.000,,13.000766,34.728413,395.00,,5680.00,1.02,1.10,,,13.585
HAT-P-29,b,Transit,5.72318600,0.066700,0.095000,0.77800,0.71000,87.100,,33.131142,51.778759,322.00,,6087.00,1.21,1.22,,,12.408
HAT-P-3,b,Transit,2.89973600,0.038660,0.000000,0.59100,1.29000,87.070,,206.094110,48.028670,139.00,11.577,5185.00,0.92,0.80,,,9.270
HAT-P-30,b,Transit,2.81059500,0.041900,0.035000,0.71100,0.37000,83.600,,123.949894,5.836719,193.00,,6304.00,1.24,1.22,,,15.020
HAT-P-31,b,Transit,5.00542500,0.055000,0.245000,2.17100,2.18000,87.100,,271.537705,26.426662,354.00,,6065.00,1.22,1.36,,,11.994
HAT-P-31,c,Radial Velocity,1022.00000000,,,3.40000,,,,271.537705,26.426662,354.00,,6065.00,1.22,1.36,,,
HAT-P-32,b,Transit,2.15000800,0.034300,0.000000,0.86000,0.19000,88.900,,31.042848,46.687836,283.00,,6207.00,1.16,1.22,,,20.053
HAT-P-33,b,Transit,3.47447400,0.049900,0.000000,0.76200,0.20000,87.200,,113.184212,33.835052,387.00,,6446.00,1.38,1.64,,,18.898
HAT-P-34,b,Transit,5.45265400,0.067700,0.441000,3.32800,2.40000,87.100,,303.195342,18.104868,257.00,,6442.00,1.39,1.53,HD 351766,,13.417
HAT-P-35,b,Transit,3.64670600,0.049800,0.025000,1.05400,0.55000,87.300,,123.250764,4.787023,535.00,,6096.00,1.24,1.43,,,14.930
HAT-P-36,b,Transit,1.32734700,0.023800,0.063000,1.83200,1.12000,86.000,,188.266255,44.915352,317.00,,5560.00,1.02,1.10,,,14.168
HAT-P-37,b,Transit,2.79743600,0.037900,0.058000,1.16900,0.89000,86.900,,284.296064,51.269138,411.00,,5500.00,0.93,0.88,,,13.204
HAT-P-38,b,Transit,4.64038200,0.052300,0.067000,0.26700,0.59000,88.300,,,,249.00,,5330.00,0.89,0.92,,,9.247
HAT-P-39,b,Transit,3.54387000,0.050900,0.000000,0.59900,0.19000,87.000,,113.758247,17.830082,642.00,,6430.00,1.40,1.62,,,17.609
HAT-P-4,b,Transit,3.05651140,0.044380,0.000000,0.68000,0.40300,89.670,,229.991355,36.229620,314.00,11.118,5860.00,1.26,1.60,,,14.930
HAT-P-40,b,Transit,4.45724300,0.060800,0.000000,0.61500,0.15000,88.300,,335.512848,45.457378,501.00,,6080.00,1.51,2.21,,,19.392
HAT-P-41,b,Transit,2.69404700,0.042600,0.000000,0.80000,0.20000,87.700,,297.322662,4.672421,344.00,,6390.00,1.42,1.68,,,18.887
HAT-P-5,b,Transit,2.78849100,0.040750,0.000000,1.06000,0.67000,86.750,,274.405476,36.621410,342.00,,5960.00,1.16,1.14,,,14.034
HAT-P-6,b,Transit,3.85300300,0.052370,0.000000,1.05900,0.55900,85.510,,354.774222,42.465973,261.00,,6570.00,1.29,1.46,,,14.910
HAT-P-7,b,Transit,2.20473040,0.032000,0.039000,1.77600,0.87600,80.800,0,292.247310,47.969513,320.00,,6350.00,1.47,1.84,,,15.278
HAT-P-8,b,Transit,3.07634020,0.048700,0.000000,1.52000,0.56800,87.500,,343.041067,35.447109,230.00,,6200.00,1.28,1.58,,,16.800
HAT-P-9,b,Transit,3.92289000,0.053000,0.000000,0.78000,0.35000,86.500,,110.168529,37.140652,480.00,,6350.00,1.28,1.32,,,15.700
HATS-1,b,Transit,3.44645900,0.044400,0.120000,1.85500,1.03000,85.600,,175.525330,-23.354836,303.00,,5870.00,0.99,1.04,,,14.594
HD 100655,b,Radial Velocity,157.57000000,0.760000,0.085000,1.70000,,,,173.765640,20.441545,140.85,6.438,4780.00,,11.32,HD 100655,HIP 56508,
HD 100777,b,Radial Velocity,383.70000000,1.030000,0.360000,1.16000,,,,173.964676,-4.755697,52.80,8.418,5340.00,0.85,1.23,HD 100777,HIP 56572,
HD 10180,c,Radial Velocity,5.75979000,0.064100,0.045000,0.04122,,,,24.473234,-60.511528,39.39,7.321,5790.00,1.06,1.23,HD 10180,HIP 7599,
HD 10180,d,Radial Velocity,16.35790000,0.128600,0.088000,0.03697,,,,24.473234,-60.511528,39.39,7.321,5790.00,1.06,1.23,HD 10180,HIP 7599,
HD 10180,e,Radial Velocity,49.74500000,0.269900,0.026000,0.07898,,,,24.473234,-60.511528,39.39,7.321,5790.00,1.06,1.23,HD 10180,HIP 7599,
HD 10180,f,Radial Velocity,122.76000000,0.492900,0.135000,0.07520,,,,24.473234,-60.511528,39.39,7.321,5790.00,1.06,1.23,HD 10180,HIP 7599,
HD 10180,g,Radial Velocity,601.20000000,1.422000,0.190000,0.06733,,,,24.473234,-60.511528,39.39,7.321,5790.00,1.06,1.23,HD 10180,HIP 7599,
HD 10180,h,Radial Velocity,2222.00000000,3.400000,0.080000,0.20263,,,,24.473234,-60.511528,39.39,7.321,5790.00,1.06,1.23,HD 10180,HIP 7599,
HD 101930,b,Radial Velocity,70.46000000,0.302000,0.110000,0.30000,,,,175.875458,-58.006886,30.50,8.216,4990.00,0.75,0.95,HD 101930,HIP 57172,
HD 102117,b,Radial Velocity,20.80790000,0.153200,0.106000,0.17200,,,,176.210251,-58.703709,42.00,7.448,5410.00,0.88,1.47,HD 102117,HIP 57291,
HD 102195,b,Radial Velocity,4.11377500,,0.000000,0.45000,,,,176.426224,2.821483,28.98,8.062,5200.00,0.81,0.85,HD 102195,HIP 57370,
HD 102272,b,Radial Velocity,127.58000000,0.614000,0.050000,5.90000,,,,176.598068,14.123986,164.20,8.711,4880.00,,4.34,HD 102272,HIP 57428,
HD 102272,c,Radial Velocity,520.00000000,1.570000,0.680000,2.60000,,,,176.598068,14.123986,164.20,8.711,4880.00,,4.34,HD 102272,HIP 57428,
HD 102329,b,Radial Velocity,778.10000000,2.010000,0.211000,5.90000,,,,176.694351,3.474293,138.50,7.886,4760.00,,5.80,HD 102329,HIP 57467,
HD 102365,b,Radial Velocity,122.10000000,0.460000,0.340000,0.05000,,,,176.629471,-40.500355,9.24,4.910,5680.00,1.00,0.92,HD 102365,HIP 57443,
HD 102956,b,Radial Velocity,6.49500000,0.081000,0.048000,0.96000,,,,177.843796,57.640736,121.07,7.851,4900.00,,4.70,HD 102956,HIP 57820,
HD 103197,b,Radial Velocity,47.80000000,,,0.10000,,,,178.220749,-50.292824,49.33,9.391,5020.00,0.76,0.87,HD 103197,HIP 57931,
HD 104067,b,Radial Velocity,55.80600000,0.264300,,0.18600,,,,179.791702,-20.353781,20.82,7.920,4880.00,0.73,0.79,HD 104067,HIP 58451,
HD 104985,b,Radial Velocity,198.20000000,0.780000,0.030000,6.30000,,,,181.312988,76.905731,102.04,5.800,4830.00,,10.66,HD 104985,HIP 58952,
HD 106252,b,Radial Velocity,1531.00000000,2.611000,0.482000,6.92000,,,,183.372955,10.041638,37.44,7.408,5830.00,1.08,1.10,HD 106252,HIP 59610,
HD 106270,b,Radial Velocity,2890.00000000,4.300000,0.402000,11.00000,,,,183.405350,-9.513381,87.87,7.577,5430.00,0.89,2.87,HD 106270,HIP 59625,
HD 10647,b,Radial Velocity,1003.00000000,2.030000,0.160000,0.93000,,,,25.622149,-53.740833,17.35,5.519,6140.00,1.20,1.08,HD 10647,HIP 7978,
HD 106515A,b,Radial Velocity,3630.00000000,,0.600000,10.49980,,,,183.777359,-7.257327,36.36,7.971,5230.00,0.82,1.10,HD 106515A,HIP 59743A,
HD 10697,b,Radial Velocity,1075.20000000,2.131000,0.099000,6.21000,,,,26.232603,20.083149,32.56,6.279,5540.00,0.93,1.84,HD 10697,HIP 8159,
HD 107148,b,Radial Velocity,48.05600000,0.269000,0.050000,0.21000,,,,184.806213,-3.319789,51.26,8.015,5550.00,0.93,1.29,HD 107148,HIP 60081,
HD 108147,b,Radial Velocity,10.89850000,0.102000,0.530000,0.26100,,,,186.442780,-64.022087,38.56,6.995,6130.00,1.19,1.22,HD 108147,HIP 60644,
HD 108863,b,Radial Velocity,443.40000000,1.400000,0.100000,2.60000,,,,187.582962,21.948244,138.50,7.739,4830.00,,5.92,HD 108863,HIP 61020,
HD 108874,b,Radial Velocity,394.48000000,1.053000,0.128000,1.34000,,,,187.612015,22.879829,68.54,8.738,5370.00,0.86,1.35,HD 108874,HIP 61028,
HD 108874,c,Radial Velocity,1680.00000000,2.770000,0.273000,1.06400,,,,187.612015,22.879829,68.54,8.738,5370.00,0.86,1.35,HD 108874,HIP 61028,
HD 109246,b,Radial Velocity,68.27000000,0.330000,0.120000,0.77000,,,,188.029953,74.489548,65.62,8.757,5670.00,0.99,1.11,HD 109246,HIP 61177,
HD 109749,b,Radial Velocity,5.24000000,0.063500,0.010000,0.28000,,,,189.318237,-40.812115,59.03,8.208,5690.00,1.00,1.28,HD 109749,HIP 61595A,
HD 110014,b,Radial Velocity,835.47700000,2.140000,0.462000,11.09000,,,,189.811523,-7.995564,97.66,4.670,4570.00,,21.91,HD 110014,HIP 61740,
HD 111232,b,Radial Velocity,1143.00000000,1.970000,0.200000,6.80000,,,,192.215637,-68.425148,28.88,7.607,5560.00,0.94,0.88,HD 111232,HIP 62534,
